Symbol,best_description,functional_category,pleiotropy_class,master_score,Peak -logP_adipose,Effect Size_adipose,genomic_context_adipose,tier_adipose,Peak -logP_liver,Effect Size_liver,genomic_context_liver,tier_liver,same_direction,peak_distance_mb
Fam111a,FAM111 trypsin like peptidase A,proteolysis,shared_cis_conserved,87.9,167.2,3.266,proximal,Tier_1_HighConfidence,133.9,3.869,proximal,Tier_1_HighConfidence,True,0.0
RT1-N2,"RT1 class Ib, locus N2",other,shared_cis_conserved,82.055,118.2,-2.911,promoter,Tier_1_HighConfidence,133.4,-3.817,promoter,Tier_1_HighConfidence,True,0.0
H2ac18,histone cluster 2 H2A family member A2,transcription_chromatin,shared_cis_conserved,79.125,92.6,-2.853,promoter,Tier_1_HighConfidence,98.2,-3.491,promoter,Tier_1_HighConfidence,True,0.0
Ifit1,interferon-induced protein with tetratricopeptide repeats 1,immune,shared_cis_conserved,77.822,150.0,2.342,proximal,Tier_1_HighConfidence,129.2,3.204,proximal,Tier_1_HighConfidence,True,0.0
Lcn2,lipocalin 2,other,shared_cis_conserved,73.683,120.7,-2.19,proximal,Tier_1_HighConfidence,89.9,-2.438,proximal,Tier_1_HighConfidence,True,0.0
Mis18a,MIS18 kinetochore protein A,other,shared_cis_conserved,70.721,123.8,1.835,proximal,Tier_1_HighConfidence,113.8,2.362,proximal,Tier_1_HighConfidence,True,0.0
Hba-a3,"hemoglobin alpha, adult chain 3",other,shared_cis_conserved,68.195,85.8,-1.948,proximal,Tier_1_HighConfidence,99.0,-2.475,proximal,Tier_1_HighConfidence,True,0.0
Ubd,ubiquitin like modifier D,proteolysis,shared_cis_conserved,67.497,74.2,1.746,proximal,Tier_1_HighConfidence,96.3,2.921,proximal,Tier_1_HighConfidence,True,0.0
Scd3,stearoyl-coenzyme A desaturase 3,lipid_metabolism,shared_cis_conserved,67.108,83.4,3.432,proximal,Tier_1_HighConfidence,20.1,0.54,proximal,Tier_2_Validate,True,0.0
Nat3,N-acetyltransferase 3,lipid_metabolism,shared_cis_conserved,67.02,93.3,-1.743,proximal,Tier_1_HighConfidence,70.1,-1.795,proximal,Tier_1_HighConfidence,True,0.0
Abca17,"ATP-binding cassette, subfamily A (ABC1), member 17",other,shared_cis_conserved,65.833,120.5,-1.344,promoter,Tier_1_HighConfidence,36.2,-0.928,promoter,Tier_2_Validate,True,0.0
RT1-CE12,"RT1 class I, locus CE12",other,shared_cis_conserved,65.721,137.2,1.136,proximal,Tier_1_HighConfidence,119.9,2.6,proximal,Tier_1_HighConfidence,True,0.0
