Band_Label,N_Genes,Tissues,Top_Gene,Max_logP,Max_ES,Cross_Tissue,Flags,Genes
Chr8:40-45 Mb,3,"Adipose, Liver",LOC691532,169.4,4.115,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"LOC685085, LOC691532, RGD1564597"
Chr5:160-165 Mb,2,"Adipose, Liver",Eno1-ps20,160.6,4.484,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; PSEUDOGENE_TRANS; LOC_UNCHARACTERIZED,"Eno1-ps20, LOC108351291"
Chr15:50-55 Mb,3,"Adipose, Liver",LOC120101677,141.1,2.373,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"Ephx2, LOC100360791, LOC120101677"
Chr7:130-135 Mb,3,"Adipose, Liver",RGD1566212,138.4,2.589,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"LOC120095980, LOC120100829, RGD1566212"
Chr1:210-215 Mb,1,"Adipose, Liver",Rfk-ps3,150.6,3.355,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; PSEUDOGENE_TRANS,Rfk-ps3
Chr12:5-10 Mb,3,"Adipose, Liver",LOC108349532,128.8,2.743,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; PSEUDOGENE_TRANS; LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"Hmgb1-ps28, LOC108348989, LOC108349532"
Chr19:10-15 Mb,4,"Adipose, Liver",LOC291863,101.4,2.286,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"LOC291863, LOC501467, LOC685291, LOC685989"
Chr7:0-5 Mb,9,"Adipose, Liver",LOC680933,50.0,1.113,True,CROSS_TISSUE_TRANS; LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE; NEAR_TELOMERE,"LOC100912582, LOC103690119, LOC103691580, LOC120094596, LOC120101061, LOC120102190, LOC120102191, LOC120102195, LOC680933"
Chr8:55-60 Mb,1,"Adipose, Liver",LOC100361008,126.9,2.411,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; LOC_UNCHARACTERIZED,LOC100361008
Chr5:130-135 Mb,3,"Adipose, Liver",Gpbp1l2,97.7,-2.443,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; PSEUDOGENE_TRANS; LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"Gpbp1l2, LOC100912427, Ybx1-ps20"
Chr3:15-20 Mb,3,"Adipose, Liver",LOC102552388,95.4,-1.59,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; PSEUDOGENE_TRANS; LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"LOC102552388, LOC102555453, Rpl12-ps2"
Chr14:0-5 Mb,1,"Adipose, Liver",LOC120095234,112.0,2.296,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; LOC_UNCHARACTERIZED; NEAR_TELOMERE,LOC120095234
Chr1:95-100 Mb,2,"Adipose, Liver",RGD1562690,94.2,1.641,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; LOC_UNCHARACTERIZED,"LOC100361025, RGD1562690"
Chr7:55-60 Mb,1,"Adipose, Liver",Ccdc180,99.2,1.675,True,CROSS_TISSUE_TRANS; MEGA_EFFECT,Ccdc180
Chr13:80-85 Mb,1,"Adipose, Liver",Uap1l2,84.2,1.536,True,CROSS_TISSUE_TRANS; MEGA_EFFECT,Uap1l2
Chr8:75-80 Mb,3,"Adipose, Liver",LOC103691939,64.0,0.765,True,CROSS_TISSUE_TRANS; PSEUDOGENE_TRANS; LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"Eef1a1-ps15, LOC100360413, LOC103691939"
Chr4:25-30 Mb,1,"Adipose, Liver",LOC681224,78.5,1.529,True,CROSS_TISSUE_TRANS; LOC_UNCHARACTERIZED,LOC681224
Chr13:100-105 Mb,1,"Adipose, Liver",LOC102547086,72.1,0.923,True,CROSS_TISSUE_TRANS; LOC_UNCHARACTERIZED,LOC102547086
Chr18:65-70 Mb,2,"Adipose, Liver",RGD1359290,59.1,2.044,True,CROSS_TISSUE_TRANS; MEGA_EFFECT; LOC_UNCHARACTERIZED,"RGD1359290, RGD1560017"
Chr5:55-60 Mb,1,"Adipose, Liver",Slc25a52,65.8,1.334,True,CROSS_TISSUE_TRANS,Slc25a52
Chr14:40-45 Mb,1,"Adipose, Liver",Fam114a1l1,64.7,1.243,True,CROSS_TISSUE_TRANS,Fam114a1l1
Chr7:65-70 Mb,2,"Adipose, Liver",Rpl30l2,36.3,1.36,True,CROSS_TISSUE_TRANS,"Rpl30l1, Rpl30l2"
Chr10:10-15 Mb,2,"Adipose, Liver",Rps2-ps18,33.5,0.611,True,CROSS_TISSUE_TRANS; PSEUDOGENE_TRANS; LOC_UNCHARACTERIZED,"LOC108350502, Rps2-ps18"
Chr4:110-115 Mb,1,"Adipose, Liver",LOC120102331,42.6,1.043,True,CROSS_TISSUE_TRANS; LOC_UNCHARACTERIZED,LOC120102331
Chr15:20-25 Mb,1,"Adipose, Liver",LOC120096223,41.0,0.768,True,CROSS_TISSUE_TRANS; LOC_UNCHARACTERIZED,LOC120096223
Chr9:5-10 Mb,2,"Adipose, Liver",Rab5al1,27.9,-0.868,True,CROSS_TISSUE_TRANS; LOC_UNCHARACTERIZED,"LOC108351885, Rab5al1"
Chr9:90-95 Mb,1,"Adipose, Liver",Ndufa10l1,36.0,0.876,True,CROSS_TISSUE_TRANS,Ndufa10l1
Chr19:20-25 Mb,2,"Adipose, Liver",Chodl,25.9,1.006,True,CROSS_TISSUE_TRANS; LOC_UNCHARACTERIZED,"Chodl, LOC120098139"
Chr1:215-220 Mb,1,"Adipose, Liver",LOC100362345,32.2,1.121,True,CROSS_TISSUE_TRANS; LOC_UNCHARACTERIZED,LOC100362345
Chr20:5-10 Mb,3,Adipose,Rpl10a-ps9,113.0,-1.505,False,MEGA_EFFECT; PSEUDOGENE_TRANS; LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"Cxcl14, RGD1560124, Rpl10a-ps9"
Chr6:95-100 Mb,1,Adipose,Usp26,110.3,-1.832,False,MEGA_EFFECT,Usp26
Chr6:70-75 Mb,4,Adipose,LOC120097291,63.3,1.611,False,LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"LOC120094884, LOC120097291, LOC120101379, Rnu1-39"
Chr4:105-110 Mb,4,Adipose,LOC120097800,59.4,-0.797,False,LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"LOC103693420, LOC108349848, LOC108351926, LOC120097800"
Chr9:45-50 Mb,1,Adipose,Ooep,74.8,1.488,False,,Ooep
Chr3:135-140 Mb,1,Adipose,LOC103691954,71.0,1.862,False,LOC_UNCHARACTERIZED,LOC103691954
Chr3:110-115 Mb,1,Liver,Gabpb1l,70.6,1.602,False,,Gabpb1l
Chr7:105-110 Mb,1,Adipose,LOC120095151,70.1,1.125,False,LOC_UNCHARACTERIZED,LOC120095151
Chr6:20-25 Mb,1,Adipose,RGD1565766,69.3,-0.743,False,LOC_UNCHARACTERIZED,RGD1565766
Chr1:230-235 Mb,3,Adipose,Tmcc2,48.9,1.035,False,MASTER_REGULATOR_CANDIDATE,"Ahsp, Kel, Tmcc2"
Chr7:120-125 Mb,4,Liver,LOC120098812,29.9,-1.341,False,LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"Abcb1b, Eda2r, LOC120098812, Nrcam"
Chr3:5-10 Mb,3,Adipose,LOC678756,35.7,1.119,False,LOC_UNCHARACTERIZED; MASTER_REGULATOR_CANDIDATE,"LOC120101875, LOC302022, LOC678756"
Chr10:85-90 Mb,1,Liver,LOC498369,52.1,1.456,False,LOC_UNCHARACTERIZED,LOC498369
Chr6:5-10 Mb,3,Adipose,Cwf19l2,31.4,0.419,False,MASTER_REGULATOR_CANDIDATE,"Alkbh8, Cwf19l2, Mtm1"
Chr15:25-30 Mb,3,Adipose,Rnase1,31.3,2.131,False,MEGA_EFFECT; MASTER_REGULATOR_CANDIDATE; PARALOG_FAMILY,"Rnase1, Rnase1l1, Rnase1l2"
Chr15:35-40 Mb,2,Liver,Ephx2,36.8,-0.923,False,LOC_UNCHARACTERIZED,"Ephx2, LOC102554611"
Chr2:120-125 Mb,1,Adipose,LOC120101456,46.5,0.869,False,LOC_UNCHARACTERIZED,LOC120101456
Chr1:140-145 Mb,1,Adipose,LOC120099587,40.3,-0.506,False,LOC_UNCHARACTERIZED,LOC120099587
Chr17:10-15 Mb,1,Liver,LOC120097510,39.0,1.207,False,LOC_UNCHARACTERIZED,LOC120097510
Chr4:115-120 Mb,1,Adipose,LOC120094466,38.4,0.887,False,LOC_UNCHARACTERIZED,LOC120094466
Chr4:80-85 Mb,1,Adipose,LOC100360260,37.0,0.613,False,LOC_UNCHARACTERIZED,LOC100360260
Chr1:175-180 Mb,1,Adipose,LOC108351646,35.8,0.676,False,LOC_UNCHARACTERIZED,LOC108351646
Chr8:110-115 Mb,1,Adipose,Tma7b,35.2,0.524,False,,Tma7b
Chr9:110-115 Mb,2,Adipose,LOC103693496,23.1,0.686,False,LOC_UNCHARACTERIZED,"LOC102548633, LOC103693496"
Chr13:75-80 Mb,1,Adipose,LOC120102902,32.8,0.367,False,LOC_UNCHARACTERIZED,LOC120102902
Chr1:200-205 Mb,1,Liver,LOC678760,32.5,0.549,False,LOC_UNCHARACTERIZED,LOC678760
Chr3:45-50 Mb,1,Liver,Ooep,30.4,0.867,False,,Ooep
Chr4:145-150 Mb,1,Adipose,LOC108353429,28.6,-0.924,False,LOC_UNCHARACTERIZED,LOC108353429
Chr2:30-35 Mb,1,Adipose,LOC120093807,28.5,-0.716,False,LOC_UNCHARACTERIZED,LOC120093807
