Index,Record,Symbol,Description,Location,Mean,Peak -logP,Peak Location,Effect Size,Gene_Chr,Gene_Pos_Str,Peak_Chr,Peak_Pos_Str,Gene_Pos,Peak_Pos,Distance_Mb,is_cis,cis_trans,is_pseudogene,is_uncharacterized,is_loc,trans_flag,flag_artifact,norm_logp,norm_es,biol_score,tier,tissue
17771,UNCHAR_LOC120099939,LOC120099939,uncharacterized LOC120099939,Chr1: 182.637159,2.582,175.6,Chr1: 181.810195,4.164,Chr1, 182.637159,Chr1, 181.810195,182.637159,181.810195,0.8269640000000038,True,cis,False,True,True,cis,False,1.0,0.7278911564625851,0.8047619047619047,Tier_2_Validate,Liver
4848,UNCHAR_Eno1-ps20,Eno1-ps20,"enolase 1, pseudogene 20",Chr4: 150.929142,6.779,160.6,Chr5: 160.724189,4.484,Chr4, 150.929142,Chr5, 160.724189,150.929142,160.724189,inf,False,trans,True,False,False,MEGA_EFFECT;PSEUDOGENE_TRANS,True,0.903598971722365,0.7883597883597884,0.6921855660287536,Tier_3_FlaggedInspect,Liver
9533,ENSRNOG00000076275,LOC102549024,uncharacterized LOC102549024,Chr4: 175.285951,4.97,157.8,Chr4: 175.154923,-5.604,Chr4, 175.285951,Chr4, 175.154923,175.285951,175.154923,0.1310280000000148,True,cis,False,True,True,cis,False,0.88560411311054,1.0,0.859961439588689,Tier_2_Validate,Liver
26677,ENSRNOG00000004381,Rfk-ps3,"riboflavin kinase, pseudogene 3",Chr3: 86.512352,2.01,150.6,Chr1: 214.758666,3.355,Chr3, 86.512352,Chr1, 214.758666,86.512352,214.758666,inf,False,trans,True,False,False,MEGA_EFFECT;PSEUDOGENE_TRANS,True,0.8393316195372751,0.575018896447468,0.59502268059466,Tier_3_FlaggedInspect,Liver
9548,ENSRNOG00000066208,LOC102549099,uncharacterized LOC102549099,Chr15: 51.192637,5.191,149.9,Chr15: 50.896269,-4.676,Chr15, 51.192637,Chr15, 50.896269,51.192637,50.896269,0.2963680000000011,True,cis,False,True,True,cis,False,0.8348329048843188,0.8246409674981103,0.7808158553338501,Tier_2_Validate,Liver
24601,ENSRNOG00000019208,P2rx5,purinergic receptor P2X 5,Chr10: 57.777736,2.808,144.7,Chr10: 56.935705,-3.735,Chr10, 57.777736,Chr10, 56.935705,57.777736,56.935705,0.8420309999999986,True,cis,False,False,False,cis,False,0.8014138817480719,0.6468253968253969,0.806883747500714,Tier_1_HighConfidence,Liver
20631,UNCHAR_LOC691532,LOC691532,uncharacterized LOC691532,Chr3: 107.280024,5.98,144.0,Chr8: 44.681539,4.115,Chr3, 107.280024,Chr8, 44.681539,107.280024,44.681539,inf,False,trans,False,True,True,MEGA_EFFECT;LOC_UNCHARACTERIZED,True,0.7969151670951157,0.7186318972033259,0.6304414725044545,Tier_3_FlaggedInspect,Liver
10998,UNCHAR_LOC102555965,LOC102555965,uncharacterized LOC102555965,Chr1: 184.499295,5.007,142.9,Chr1: 184.570953,-4.917,Chr1, 184.499295,Chr1, 184.570953,184.499295,184.570953,0.07165800000001354,True,cis,False,True,True,cis,False,0.7898457583547559,0.8701814058956916,0.7810095074876565,Tier_2_Validate,Liver
20430,UNCHAR_LOC685157,LOC685157,uncharacterized LOC685157,Chr12: 18.799390,2.156,134.2,Chr12: 19.032032,-2.929,Chr12, 18.799390,Chr12, 19.032032,18.79939,19.032032,0.232642000000002,True,cis,False,True,True,cis,False,0.7339331619537275,0.49452003023431595,0.6299586172658151,Tier_2_Validate,Liver
5147,ENSRNOG00000012067,Fam111a,FAM111 trypsin like peptidase A,Chr1: 209.640864,5.134,133.9,Chr1: 209.858238,3.869,Chr1, 209.640864,Chr1, 209.858238,209.640864,209.858238,0.21737400000000662,True,cis,False,False,False,cis,False,0.7320051413881749,0.6721466364323508,0.7914531222371839,Tier_1_HighConfidence,Liver
26952,UNCHAR_RGD1562844,RGD1562844,uncharacterized RGD1562844,Chr17: 31.386217,2.517,133.7,Chr17: 31.438420,-3.514,Chr17, 31.386217,Chr17, 31.438420,31.386217,31.43842,0.05220300000000222,True,cis,False,True,False,cis,False,0.730719794344473,0.6050642479213908,0.6675244147930522,Tier_2_Validate,Liver
27787,ENSRNOG00000029386,RT1-N2,"RT1 class Ib, locus N2",Chr20: 2.641156,4.918,133.4,Chr20: 2.687516,-3.817,Chr20, 2.641156,Chr20, 2.687516,2.641156,2.687516,0.04635999999999996,True,cis,False,False,False,cis,False,0.7287917737789203,0.6623204837490553,0.7868892901347914,Tier_1_HighConfidence,Liver
11611,UNCHAR_LOC103693260,LOC103693260,uncharacterized LOC103693260,Chr10: 2.221334,3.475,129.8,Chr10: 1.082663,3.282,Chr10, 2.221334,Chr10, 1.082663,2.221334,1.082663,1.1386710000000002,True,cis,False,True,True,cis,False,0.7056555269922881,0.5612244897959184,0.6434080058758722,Tier_2_Validate,Liver
7166,ENSRNOG00000019050,Ifit1,interferon-induced protein with tetratricopeptide repeats 1,Chr1: 232.152037,2.711,129.2,Chr1: 231.862988,3.204,Chr1, 232.152037,Chr1, 231.862988,232.152037,231.862988,0.28904900000000566,True,cis,False,False,False,cis,False,0.7017994858611825,0.5464852607709751,0.7368996613212551,Tier_1_HighConfidence,Liver
184,ENSRNOG00000051912,Acnat2,acyl-coenzyme A amino acid N-acyltransferase 2,Chr5: 63.757520,11.525,128.0,Chr5: 63.700422,-1.972,Chr5, 63.757520,Chr5, 63.700422,63.75752,63.700422,0.05709799999999632,True,cis,False,False,False,cis,False,0.6940874035989717,0.31368102796674224,0.6527189510479998,Tier_1_HighConfidence,Liver
28053,ENSRNOG00000009636,Scrn1,secernin 1,Chr4: 83.694224,4.56,125.7,Chr4: 83.871948,3.174,Chr4, 83.694224,Chr4, 83.871948,83.694224,83.871948,0.17772399999999777,True,cis,False,False,False,cis,False,0.679305912596401,0.5408163265306123,0.7270427836944546,Tier_1_HighConfidence,Liver
10409,UNCHAR_LOC102553008,LOC102553008,uncharacterized LOC102553008,Chr16: 45.901941,7.408,125.3,Chr16: 45.587763,-2.889,Chr16, 45.901941,Chr16, 45.587763,45.901941,45.587763,0.3141779999999983,True,cis,False,True,True,cis,False,0.6767352185089974,0.48696145124716556,0.607293834414657,Tier_2_Validate,Liver
