"Index","Record","Symbol","Description","Location","Mean","Peak -logP","Peak Location","Effect Size"
"17771","UNCHAR_LOC120099939","LOC120099939","uncharacterized LOC120099939","Chr1: 182.637159","2.582","175.6","Chr1: 181.810195","4.164"
"4848","UNCHAR_Eno1-ps20","Eno1-ps20","enolase 1, pseudogene 20","Chr4: 150.929142","6.779","160.6","Chr5: 160.724189","4.484"
"9533","ENSRNOG00000076275","LOC102549024","uncharacterized LOC102549024","Chr4: 175.285951","4.970","157.8","Chr4: 175.154923","-5.604"
"26677","ENSRNOG00000004381","Rfk-ps3","riboflavin kinase, pseudogene 3","Chr3: 86.512352","2.010","150.6","Chr1: 214.758666","3.355"
"9548","ENSRNOG00000066208","LOC102549099","uncharacterized LOC102549099","Chr15: 51.192637","5.191","149.9","Chr15: 50.896269","-4.676"
"24601","ENSRNOG00000019208","P2rx5","purinergic receptor P2X 5","Chr10: 57.777736","2.808","144.7","Chr10: 56.935705","-3.735"
"20631","UNCHAR_LOC691532","LOC691532","uncharacterized LOC691532","Chr3: 107.280024","5.980","144.0","Chr8: 44.681539","4.115"
"10998","UNCHAR_LOC102555965","LOC102555965","uncharacterized LOC102555965","Chr1: 184.499295","5.007","142.9","Chr1: 184.570953","-4.917"
"20430","UNCHAR_LOC685157","LOC685157","uncharacterized LOC685157","Chr12: 18.799390","2.156","134.2","Chr12: 19.032032","-2.929"
"5147","ENSRNOG00000012067","Fam111a","FAM111 trypsin like peptidase A","Chr1: 209.640864","5.134","133.9","Chr1: 209.858238","3.869"
"26952","UNCHAR_RGD1562844","RGD1562844","uncharacterized RGD1562844","Chr17: 31.386217","2.517","133.7","Chr17: 31.438420","-3.514"
"27787","ENSRNOG00000029386","RT1-N2","RT1 class Ib, locus N2","Chr20: 2.641156","4.918","133.4","Chr20: 2.687516","-3.817"
"11611","UNCHAR_LOC103693260","LOC103693260","uncharacterized LOC103693260","Chr10: 2.221334","3.475","129.8","Chr10: 1.082663","3.282"
"7166","ENSRNOG00000019050","Ifit1","interferon-induced protein with tetratricopeptide repeats 1","Chr1: 232.152037","2.711","129.2","Chr1: 231.862988","3.204"
"184","ENSRNOG00000051912","Acnat2","acyl-coenzyme A amino acid N-acyltransferase 2","Chr5: 63.757520","11.525","128.0","Chr5: 63.700422","-1.972"
"28053","ENSRNOG00000009636","Scrn1","secernin 1","Chr4: 83.694224","4.560","125.7","Chr4: 83.871948","3.174"
"10409","UNCHAR_LOC102553008","LOC102553008","uncharacterized LOC102553008","Chr16: 45.901941","7.408","125.3","Chr16: 45.587763","-2.889"
"13106","UNCHAR_LOC120093125","LOC120093125","uncharacterized LOC120093125","Chr20: 2.624072","6.972","123.2","Chr20: 3.210100","2.892"
"12088","UNCHAR_LOC108349532","LOC108349532","high mobility group protein B1 pseudogene","Chr1: 163.050053","2.990","122.4","Chr12: 5.976284","2.332"
"21945","ENSRNOG00000010834","Mpped1","metallophosphoesterase domain containing 1","Chr7: 114.932220","1.938","122.3","Chr7: 114.967349","-2.242"
"1515","ENSRNOG00000012027","Bco1","beta-carotene oxygenase 1","Chr19: 45.149249","6.979","121.7","Chr19: 45.316201","-1.555"
"4128","ENSRNOG00000082925","Dhfr","dihydrofolate reductase","Chr2: 23.585875","8.515","121.0","Chr2: 23.477875","1.478"
"20908","ENSRNOG00000034139","Lyc2","lysozyme C type 2","Chr7: 52.887103","8.651","120.9","Chr7: 53.139710","-2.090"
"27758","UNCHAR_RT1-CE12","RT1-CE12","RT1 class I, locus CE12","Chr20: 3.342546","6.780","119.9","Chr20: 3.601132","2.600"
"2985","ENSRNOG00000013334_2","Clca2","chloride channel accessory 5","Chr2: 234.022690","5.970","118.8","Chr2: 234.106103","3.703"
"27762","ENSRNOG00000071225","RT1-CE16","RT1 class I, locus CE16","Chr20: 3.260695","10.169","115.0","Chr20: 3.601132","-2.264"
"21791","ENSRNOG00000021555","Mis18a","MIS18 kinetochore protein A","Chr11: 29.981057","3.768","113.8","Chr11: 29.858552","2.362"
"3813","ENSRNOG00000042496","Cyp4f37","cytochrome P450, family 4, subfamily f, polypeptide 37","Chr7: 11.572572","2.384","113.6","Chr7: 11.496541","-2.347"
"11329","UNCHAR_LOC103691422","LOC103691422","uncharacterized LOC103691422","Chr2: 24.481553","4.467","111.6","Chr2: 24.478320","2.623"
"26657","ENSRNOG00000014090","Retsat","retinol saturase","Chr4: 104.653305","13.674","109.7","Chr4: 104.785882","-1.267"
"32319","ENSRNOG00000069670","Ugt2b","UDP-glucuronosyltransferase 2B2","Chr14: 20.630571","13.311","109.5","Chr14: 19.903596","-4.760"
"10540","UNCHAR_LOC102553702","LOC102553702","uncharacterized LOC102553702","Chr1: 234.506901","4.824","106.7","Chr1: 234.254973","-2.928"
"818","ENSRNOG00000014453","Anxa5","annexin A5","Chr2: 119.344702","9.429","104.9","Chr2: 118.817402","-1.323"
"7003","ENSRNOG00000000605","Hs3st5","heparan sulfate-glucosamine 3-sulfotransferase 5","Chr20: 40.106875","1.345","103.7","Chr20: 38.978291","2.784"
"27752","ENSRNOG00000071249","RT1-A3","RT1 class I, locus A3","Chr20: 4.847572","8.680","103.4","Chr20: 5.002150","-3.372"
"8534","ENSRNOG00000022490","LOC100361008","Cytochrome c oxidase subunit 5A, mitochondrial-like","Chr3: 13.804502","6.348","102.2","Chr8: 58.034773","2.411"
"12715","UNCHAR_LOC108352105","LOC108352105","uncharacterized LOC108352105","Chr10: 57.777689","2.619","101.8","Chr10: 56.935705","-2.760"
"18886","UNCHAR_LOC120101677","LOC120101677","uncharacterized LOC120101677","Chr3: 122.794642","6.824","101.0","Chr15: 51.790676","2.373"
"25301","ENSRNOG00000001711","Plaat1","phospholipase A and acyltransferase 1","Chr11: 71.537141","5.108","100.4","Chr11: 71.659727","-2.284"
"2204","ENSRNOG00000010412","Ccdc180","coiled-coil domain containing 180","Chr5: 60.154882","2.280","99.2","Chr7: 59.856327","1.675"
"6666","ENSRNOG00000047321","Hba-a3","hemoglobin alpha, adult chain 3","Chr10: 15.312393","4.244","99.0","Chr10: 15.438463","-2.475"
"21812","ENSRNOG00000032871","Mlc1","modulator of VRAC current 1","Chr7: 120.067048","8.928","98.3","Chr7: 120.051699","-3.077"
"6589","UNCHAR_H2ac18","H2ac18","histone cluster 2 H2A family member A2","Chr2: 183.808397","4.599","98.2","Chr2: 183.798575","-3.491"
"13125","UNCHAR_LOC120093158","LOC120093158","uncharacterized LOC120093158","Chr2: 91.501917","7.144","97.8","Chr2: 90.622770","1.244"
"6260","ENSRNOG00000016336","Gpbp1l2","GC-rich promoter binding protein 1-like 2","Chr2: 221.964035","4.931","97.7","Chr5: 130.042292","-2.443"
"32203","ENSRNOG00000000767","Ubd","ubiquitin like modifier D","Chr20: 1.387437","6.756","96.3","Chr20: 1.568617","2.921"
