Index,Record,Symbol,Description,Location,Mean,Peak -logP,Peak Location,Effect Size,Gene_Chr,Gene_Pos_Str,Peak_Chr,Peak_Pos_Str,Gene_Pos,Peak_Pos,Distance_Mb,is_cis,cis_trans,is_pseudogene,is_uncharacterized,is_loc,trans_flag,flag_artifact,norm_logp,norm_es,biol_score,tier,tissue
20631,UNCHAR_LOC691532,LOC691532,uncharacterized LOC691532,Chr3: 107.280024,6.797,169.4,Chr8: 44.681539,2.334,Chr3, 107.280024,Chr8, 44.681539,107.280024,44.681539,inf,False,trans,False,True,True,MEGA_EFFECT;LOC_UNCHARACTERIZED,True,1.0,0.6354445435622956,0.6724055902468035,Tier_3_FlaggedInspect,Adipose
5147,ENSRNOG00000012067,Fam111a,FAM111 trypsin like peptidase A,Chr1: 209.640864,9.201,167.2,Chr1: 209.858238,3.266,Chr1, 209.640864,Chr1, 209.858238,209.640864,209.858238,0.21737400000000662,True,cis,False,False,False,cis,False,0.9852744310575635,0.9125780553077609,0.9642483702278634,Tier_1_HighConfidence,Adipose
4848,UNCHAR_Eno1-ps20,Eno1-ps20,"enolase 1, pseudogene 20",Chr4: 150.929142,6.423,159.4,Chr5: 160.724189,3.32,Chr4, 150.929142,Chr5, 160.724189,150.929142,160.724189,inf,False,trans,True,False,False,MEGA_EFFECT;PSEUDOGENE_TRANS,True,0.9330655957161982,0.9286351471900088,0.7515952600171724,Tier_3_FlaggedInspect,Adipose
11611,UNCHAR_LOC103693260,LOC103693260,uncharacterized LOC103693260,Chr10: 2.221334,4.968,153.2,Chr10: 1.082663,3.56,Chr10, 2.221334,Chr10, 1.082663,2.221334,1.082663,1.1386710000000002,True,cis,False,True,True,cis,False,0.8915662650602408,1.0,0.8620481927710841,Tier_2_Validate,Adipose
7166,ENSRNOG00000019050,Ifit1,interferon-induced protein with tetratricopeptide repeats 1,Chr1: 232.152037,6.097,150.0,Chr1: 231.862988,2.342,Chr1, 232.152037,Chr1, 231.862988,232.152037,231.862988,0.28904900000000566,True,cis,False,False,False,cis,False,0.8701472556894243,0.6378233719892953,0.8277897196875518,Tier_1_HighConfidence,Adipose
9778,UNCHAR_LOC102550180,LOC102550180,uncharacterized LOC102550180,Chr15: 27.915135,6.927,149.1,Chr15: 27.974218,1.864,Chr15, 27.915135,Chr15, 27.974218,27.915135,27.974218,0.05908300000000111,True,cis,False,True,True,cis,False,0.8641231593038822,0.49568837347606304,0.6759340364729808,Tier_2_Validate,Adipose
13382,UNCHAR_LOC120093570,LOC120093570,uncharacterized LOC120093570,Chr7: 34.301338,3.79,144.8,Chr7: 34.300659,2.73,Chr7, 34.301338,Chr7, 34.300659,34.301338,34.300659,0.0006789999999980978,True,cis,False,True,True,cis,False,0.8353413654618475,0.7531965506987808,0.7559882706562198,Tier_2_Validate,Adipose
18886,UNCHAR_LOC120101677,LOC120101677,uncharacterized LOC120101677,Chr3: 122.794642,4.853,141.1,Chr15: 51.790676,1.62,Chr3, 122.794642,Chr15, 51.790676,122.794642,51.790676,inf,False,trans,False,True,True,MEGA_EFFECT;LOC_UNCHARACTERIZED,True,0.8105756358768407,0.4231341064525721,0.5317984098152945,Tier_3_FlaggedInspect,Adipose
26934,UNCHAR_RGD1562525,RGD1562525,uncharacterized RGD1562525,Chr12: 17.682714,1.951,141.0,Chr12: 19.031953,2.551,Chr12, 17.682714,Chr12, 19.031953,17.682714,19.031953,1.3492390000000007,True,cis,False,True,False,cis,False,0.8099062918340026,0.6999702646446625,0.7284567947675327,Tier_2_Validate,Adipose
27135,UNCHAR_RGD1566212,RGD1566212,ATP synthase membrane subunit c locus 2 like 2,Chr2: 26.836361,2.936,138.4,Chr7: 133.796878,2.589,Chr2, 26.836361,Chr7, 133.796878,26.836361,133.796878,inf,False,trans,False,False,False,MEGA_EFFECT,True,0.7925033467202142,0.7112696996729111,0.7263205662375938,Tier_3_FlaggedInspect,Adipose
