"Index","Record","Symbol","Description","Location","Mean","Peak -logP","Peak Location","Effect Size"
"20631","UNCHAR_LOC691532","LOC691532","uncharacterized LOC691532","Chr3: 107.280024","6.797","169.4","Chr8: 44.681539","2.334"
"5147","ENSRNOG00000012067","Fam111a","FAM111 trypsin like peptidase A","Chr1: 209.640864","9.201","167.2","Chr1: 209.858238","3.266"
"4848","UNCHAR_Eno1-ps20","Eno1-ps20","enolase 1, pseudogene 20","Chr4: 150.929142","6.423","159.4","Chr5: 160.724189","3.320"
"11611","UNCHAR_LOC103693260","LOC103693260","uncharacterized LOC103693260","Chr10: 2.221334","4.968","153.2","Chr10: 1.082663","3.560"
"7166","ENSRNOG00000019050","Ifit1","interferon-induced protein with tetratricopeptide repeats 1","Chr1: 232.152037","6.097","150.0","Chr1: 231.862988","2.342"
"9778","UNCHAR_LOC102550180","LOC102550180","uncharacterized LOC102550180","Chr15: 27.915135","6.927","149.1","Chr15: 27.974218","1.864"
"13382","UNCHAR_LOC120093570","LOC120093570","uncharacterized LOC120093570","Chr7: 34.301338","3.790","144.8","Chr7: 34.300659","2.730"
"18886","UNCHAR_LOC120101677","LOC120101677","uncharacterized LOC120101677","Chr3: 122.794642","4.853","141.1","Chr15: 51.790676","1.620"
"26934","UNCHAR_RGD1562525","RGD1562525","uncharacterized RGD1562525","Chr12: 17.682714","1.951","141.0","Chr12: 19.031953","2.551"
"27135","UNCHAR_RGD1566212","RGD1566212","ATP synthase membrane subunit c locus 2 like 2","Chr2: 26.836361","2.936","138.4","Chr7: 133.796878","2.589"
"27758","UNCHAR_RT1-CE12","RT1-CE12","RT1 class I, locus CE12","Chr20: 3.342546","10.609","137.2","Chr20: 3.601132","1.136"
"30910","ENSRNOG00000016782","Tnfrsf8","TNF receptor superfamily member 8","Chr5: 157.168420","4.272","137.1","Chr5: 157.431322","2.776"
"8912","ENSRNOG00000042224_1","LOC100912642","cytochrome P450 2J3-like","Chr5: 110.930401","3.285","134.1","Chr5: 111.023453","-2.019"
"27967","ENSRNOG00000021015","Sbsn","suprabasin","Chr1: 85.978969","6.511","133.5","Chr1: 86.021287","-1.705"
"20908","ENSRNOG00000034139","Lyc2","lysozyme C type 2","Chr7: 52.887103","5.314","131.8","Chr7: 53.139710","3.241"
"11601","UNCHAR_LOC103693140","LOC103693140","uncharacterized LOC103693140","Chr8: 73.213596","5.852","131.0","Chr8: 73.350324","-1.088"
"12088","UNCHAR_LOC108349532","LOC108349532","high mobility group protein B1 pseudogene","Chr1: 163.050053","4.453","128.8","Chr12: 5.976284","2.743"
"8534","ENSRNOG00000022490","LOC100361008","Cytochrome c oxidase subunit 5A, mitochondrial-like","Chr3: 13.804502","6.125","126.9","Chr8: 58.034773","2.293"
"8525","ENSRNOG00000033517","LOC100360791","tumor protein, translationally-controlled 1 like 3","Chr1: 19.107388","10.369","124.1","Chr15: 50.896269","1.025"
"28206","ENSRNOG00000022932","Serhl2","serine hydrolase-like 2","Chr7: 114.246034","7.770","124.0","Chr7: 114.323395","0.871"
"26980","UNCHAR_RGD1563402","RGD1563402","Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1 like 1","Chr1: 204.760741","1.882","123.9","Chr1: 205.532359","2.190"
"21791","ENSRNOG00000021555","Mis18a","MIS18 kinetochore protein A","Chr11: 29.981057","3.948","123.8","Chr11: 29.858552","1.835"
"4233","ENSRNOG00000055934","Dmkn","dermokine","Chr1: 86.013236","3.163","123.7","Chr1: 86.021287","-2.535"
"9737","UNCHAR_LOC102550008","LOC102550008","uncharacterized LOC102550008","Chr2: 151.815596","2.930","123.5","Chr2: 150.688203","2.160"
"32480","ENSRNOG00000038512","Uts2b","urotensin 2B","Chr11: 73.424384","2.529","121.1","Chr11: 73.579584","2.181"
"8253","ENSRNOG00000013973","Lcn2","lipocalin 2","Chr3: 15.684032","3.582","120.7","Chr3: 15.375341","-2.190"
"47","ENSRNOG00000039656","Abca17","ATP-binding cassette, subfamily A (ABC1), member 17","Chr10: 13.382220","5.552","120.5","Chr10: 13.286123","-1.344"
"17771","UNCHAR_LOC120099939","LOC120099939","uncharacterized LOC120099939","Chr1: 182.637159","2.156","119.5","Chr1: 181.810195","2.050"
"27762","ENSRNOG00000071225","RT1-CE16","RT1 class I, locus CE16","Chr20: 3.260695","11.679","118.3","Chr20: 3.601132","-1.060"
