Index,Record,Symbol,Description,Location,Mean,Peak -logP,Peak Location,Effect Size,Gene_Chr,Gene_Pos_Str,Peak_Chr,Peak_Pos_Str,Gene_Pos,Peak_Pos,Distance_Mb,is_cis,cis_trans,is_pseudogene,is_uncharacterized,is_loc,trans_flag,flag_artifact,norm_logp,norm_es,biol_score,tier,tissue
24601,ENSRNOG00000019208,P2rx5,purinergic receptor P2X 5,Chr10: 57.777736,2.808,144.7,Chr10: 56.935705,-3.735,Chr10, 57.777736,Chr10, 56.935705,57.777736,56.935705,0.8420309999999986,True,cis,False,False,False,cis,False,0.8014138817480719,0.6468253968253969,0.806883747500714,Tier_1_HighConfidence,Liver
32319,ENSRNOG00000069670,Ugt2b,UDP-glucuronosyltransferase 2B2,Chr14: 20.630571,13.311,109.5,Chr14: 19.903596,-4.76,Chr14, 20.630571,Chr14, 19.903596,20.630571,19.903596,0.7269749999999995,True,cis,False,False,False,cis,False,0.5751928020565553,0.8405139833711261,0.7954973748996884,Tier_1_HighConfidence,Liver
5147,ENSRNOG00000012067,Fam111a,FAM111 trypsin like peptidase A,Chr1: 209.640864,5.134,133.9,Chr1: 209.858238,3.869,Chr1, 209.640864,Chr1, 209.858238,209.640864,209.858238,0.21737400000000662,True,cis,False,False,False,cis,False,0.7320051413881749,0.6721466364323508,0.7914531222371839,Tier_1_HighConfidence,Liver
27787,ENSRNOG00000029386,RT1-N2,"RT1 class Ib, locus N2",Chr20: 2.641156,4.918,133.4,Chr20: 2.687516,-3.817,Chr20, 2.641156,Chr20, 2.687516,2.641156,2.687516,0.04635999999999996,True,cis,False,False,False,cis,False,0.7287917737789203,0.6623204837490553,0.7868892901347914,Tier_1_HighConfidence,Liver
2985,ENSRNOG00000013334_2,Clca2,chloride channel accessory 5,Chr2: 234.022690,5.97,118.8,Chr2: 234.106103,3.703,Chr2, 234.022690,Chr2, 234.106103,234.02269,234.106103,0.08341299999997887,True,cis,False,False,False,cis,False,0.634961439588689,0.6407785336356765,0.7465089906285278,Tier_1_HighConfidence,Liver
7166,ENSRNOG00000019050,Ifit1,interferon-induced protein with tetratricopeptide repeats 1,Chr1: 232.152037,2.711,129.2,Chr1: 231.862988,3.204,Chr1, 232.152037,Chr1, 231.862988,232.152037,231.862988,0.28904900000000566,True,cis,False,False,False,cis,False,0.7017994858611825,0.5464852607709751,0.7368996613212551,Tier_1_HighConfidence,Liver
28053,ENSRNOG00000009636,Scrn1,secernin 1,Chr4: 83.694224,4.56,125.7,Chr4: 83.871948,3.174,Chr4, 83.694224,Chr4, 83.871948,83.694224,83.871948,0.17772399999999777,True,cis,False,False,False,cis,False,0.679305912596401,0.5408163265306123,0.7270427836944546,Tier_1_HighConfidence,Liver
27752,ENSRNOG00000071249,RT1-A3,"RT1 class I, locus A3",Chr20: 4.847572,8.68,103.4,Chr20: 5.002150,-3.372,Chr20, 4.847572,Chr20, 5.002150,4.847572,5.00215,0.15457799999999988,True,cis,False,False,False,cis,False,0.5359897172236504,0.5782312925170068,0.6899773534092299,Tier_1_HighConfidence,Liver
6589,UNCHAR_H2ac18,H2ac18,histone cluster 2 H2A family member A2,Chr2: 183.808397,4.599,98.2,Chr2: 183.798575,-3.491,Chr2, 183.808397,Chr2, 183.798575,183.808397,183.798575,0.009822000000013986,True,cis,False,False,False,cis,False,0.5025706940874036,0.6007180650037793,0.686151065681914,Tier_1_HighConfidence,Liver
22233,UNCHAR_Mup4,Mup4,major urinary protein 4,Chr5: 74.964685,7.519,64.1,Chr5: 77.453923,-4.647,Chr5, 74.964685,Chr5, 77.453923,74.964685,77.453923,2.4892380000000003,True,cis,False,False,False,cis,False,0.2834190231362468,0.8191609977324263,0.6859030073040355,Tier_1_HighConfidence,Liver
7236,ENSRNOG00000026087,Igfn1,immunoglobulin-like and fibronectin type III domain containing 1,Chr13: 47.427505,3.315,92.6,Chr13: 47.430013,3.601,Chr13, 47.427505,Chr13, 47.430013,47.427505,47.430013,0.00250800000000595,True,cis,False,False,False,cis,False,0.4665809768637532,0.621504157218443,0.6808297969287685,Tier_1_HighConfidence,Liver
27758,UNCHAR_RT1-CE12,RT1-CE12,"RT1 class I, locus CE12",Chr20: 3.342546,6.78,119.9,Chr20: 3.601132,2.6,Chr20, 3.342546,Chr20, 3.601132,3.342546,3.601132,0.2585860000000002,True,cis,False,False,False,cis,False,0.6420308483290489,0.43235071806500386,0.6760335482379184,Tier_1_HighConfidence,Liver
