Symbol,pleiotropy_class,master_score,Peak -logP_adipose,Peak -logP_liver,Effect Size_adipose,Effect Size_liver,Peak_Chr_adipose,Peak_Chr_liver,Peak_Pos_adipose,Peak_Pos_liver
LOC103693260,shared_cis_conserved,80.89192771084336,153.2,129.8,3.56,3.282,Chr10,Chr10,1.082663,1.082663
LOC102555965,shared_cis_conserved,75.61038029950626,115.0,142.9,-1.874,-4.917,Chr1,Chr1,184.570953,184.570953
LOC120099939,shared_cis_conserved,75.44047619047619,119.5,175.6,2.05,4.164,Chr1,Chr1,181.810195,181.810195
LOC100912642,shared_cis_conserved,71.12699617978306,134.1,59.2,-2.019,-1.17,Chr5,Chr5,111.023453,111.023453
LOC120093570,shared_cis_conserved,69.01953082624878,144.8,31.3,2.73,0.756,Chr7,Chr7,34.300659,34.300659
LOC102550180,shared_cis_conserved,67.14236145891923,149.1,69.4,1.864,1.021,Chr15,Chr15,27.974218,27.974218
LOC120102367,shared_cis_conserved,66.36595399140421,77.4,64.2,-2.321,-1.429,Chr4,Chr4,148.389881,148.389881
RGD1562844,shared_cis_conserved,65.45597659172209,47.6,133.7,-0.751,-3.514,Chr17,Chr17,31.43842,31.43842
RGD1562525,shared_cis_conserved,63.59327179070131,141.0,59.4,2.551,0.891,Chr12,Chr12,19.031953,19.031953
LOC102554288,shared_cis_conserved,63.4188253698708,69.3,86.2,-2.032,-2.409,Chr3,Chr3,145.050063,145.050063
LOC102555557,shared_cis_conserved,62.05640356848147,66.6,47.7,-1.649,-1.329,Chr12,Chr12,27.01514,27.01514
LOC120093125,shared_cis_conserved,61.76074386909863,37.6,123.2,0.53,2.892,Chr20,Chr20,2.687516,3.2101
RGD1559482,shared_cis_conserved,61.41747668043568,89.5,75.4,-1.607,-1.638,Chr10,Chr10,99.846935,99.846935
LOC103691422,shared_cis_conserved,60.99040185797255,34.1,111.6,0.727,2.623,Chr2,Chr2,24.47832,24.47832
LOC102547398,shared_cis_conserved,60.39180814844271,106.8,49.9,1.424,0.83,Chr11,Chr11,80.485948,80.485948
LOC108349628,shared_cis_conserved,60.3429855729788,92.0,46.4,1.498,1.436,Chr1,Chr1,174.788504,175.800813
