Index_adipose,Record_adipose,Symbol,Description_adipose,Location_adipose,Mean_adipose,Peak -logP_adipose,Peak Location_adipose,Effect Size_adipose,Gene_Chr_adipose,Gene_Pos_Str_adipose,Peak_Chr_adipose,Peak_Pos_Str_adipose,Gene_Pos_adipose,Peak_Pos_adipose,Distance_Mb_adipose,is_cis_adipose,cis_trans_adipose,is_pseudogene_adipose,is_uncharacterized_adipose,is_loc_adipose,trans_flag_adipose,flag_artifact_adipose,norm_logp_adipose,norm_es_adipose,biol_score_adipose,tier_adipose,tissue_adipose,genomic_context_adipose,Index_liver,Record_liver,Description_liver,Location_liver,Mean_liver,Peak -logP_liver,Peak Location_liver,Effect Size_liver,Gene_Chr_liver,Gene_Pos_Str_liver,Peak_Chr_liver,Peak_Pos_Str_liver,Gene_Pos_liver,Peak_Pos_liver,Distance_Mb_liver,is_cis_liver,cis_trans_liver,is_pseudogene_liver,is_uncharacterized_liver,is_loc_liver,trans_flag_liver,flag_artifact_liver,norm_logp_liver,norm_es_liver,biol_score_liver,tier_liver,tissue_liver,genomic_context_liver,_merge,in_adipose,in_liver,in_both,shared_peak,same_direction,peak_distance_mb,pleiotropy_class,tissue_specificity_index,conservation_score,master_score
5147.0,ENSRNOG00000012067,Fam111a,FAM111 trypsin like peptidase A,Chr1: 209.640864,9.201,167.2,Chr1: 209.858238,3.266,Chr1,209.640864,Chr1,209.858238,209.640864,209.858238,0.2173740000000066,True,cis,False,False,False,cis,False,0.9852744310575636,0.9125780553077608,0.9642483702278634,Tier_1_HighConfidence,Adipose,proximal,5147.0,ENSRNOG00000012067,FAM111 trypsin like peptidase A,Chr1: 209.640864,5.134,133.9,Chr1: 209.858238,3.869,Chr1,209.640864,Chr1,209.858238,209.640864,209.858238,0.2173740000000066,True,cis,False,False,False,cis,False,0.7320051413881749,0.6721466364323508,0.7914531222371839,Tier_1_HighConfidence,Liver,proximal,both,True,True,True,True,True,0.0,shared_cis_conserved,0.09786209544935298,0.8348965894734771,87.89993480911453
27787.0,ENSRNOG00000029386,RT1-N2,"RT1 class Ib, locus N2",Chr20: 2.641156,4.809,118.2,Chr20: 2.687516,-2.911,Chr20,2.641156,Chr20,2.687516,2.641156,2.687516,0.0463599999999999,True,cis,False,False,False,cis,False,0.6572958500669344,0.8070175438596491,0.8125096878743041,Tier_1_HighConfidence,Adipose,promoter,27787.0,ENSRNOG00000029386,"RT1 class Ib, locus N2",Chr20: 2.641156,4.918,133.4,Chr20: 2.687516,-3.817,Chr20,2.641156,Chr20,2.687516,2.641156,2.687516,0.0463599999999999,True,cis,False,False,False,cis,False,0.7287917737789203,0.6623204837490553,0.7868892901347914,Tier_1_HighConfidence,Liver,promoter,both,True,True,True,True,True,0.0,shared_cis_conserved,0.01591923326011206,0.7933341876528197,82.05538751497215
11611.0,UNCHAR_LOC103693260,LOC103693260,uncharacterized LOC103693260,Chr10: 2.221334,4.968,153.2,Chr10: 1.082663,3.56,Chr10,2.221334,Chr10,1.082663,2.221334,1.082663,1.1386710000000002,True,cis,False,True,True,cis,False,0.8915662650602408,1.0,0.8620481927710841,Tier_2_Validate,Adipose,distal_cis,11611.0,UNCHAR_LOC103693260,uncharacterized LOC103693260,Chr10: 2.221334,3.475,129.8,Chr10: 1.082663,3.282,Chr10,2.221334,Chr10,1.082663,2.221334,1.082663,1.1386710000000002,True,cis,False,True,True,cis,False,0.7056555269922881,0.5612244897959184,0.6434080058758722,Tier_2_Validate,Liver,distal_cis,both,True,True,True,True,True,0.0,shared_cis_conserved,0.14427351123075696,0.698428736377752,80.89192771084336
6589.0,UNCHAR_H2ac18,H2ac18,histone cluster 2 H2A family member A2,Chr2: 183.808397,6.981,92.6,Chr2: 183.798575,-2.853,Chr2,183.808397,Chr2,183.798575,183.808397,183.798575,0.0098220000000139,True,cis,False,False,False,cis,False,0.4859437751004015,0.7897710377639013,0.7465001845025059,Tier_1_HighConfidence,Adipose,promoter,6589.0,UNCHAR_H2ac18,histone cluster 2 H2A family member A2,Chr2: 183.808397,4.599,98.2,Chr2: 183.798575,-3.491,Chr2,183.808397,Chr2,183.798575,183.808397,183.798575,0.0098220000000139,True,cis,False,False,False,cis,False,0.5025706940874036,0.6007180650037793,0.686151065681914,Tier_1_HighConfidence,Liver,promoter,both,True,True,True,True,True,0.0,shared_cis_conserved,0.041832091306112436,0.7013429256153272,79.12500738010024
7166.0,ENSRNOG00000019050,Ifit1,interferon-induced protein with tetratricopeptide repeats 1,Chr1: 232.152037,6.097,150.0,Chr1: 231.862988,2.342,Chr1,232.152037,Chr1,231.862988,232.152037,231.862988,0.2890490000000056,True,cis,False,False,False,cis,False,0.8701472556894243,0.6378233719892953,0.8277897196875518,Tier_1_HighConfidence,Adipose,proximal,7166.0,ENSRNOG00000019050,interferon-induced protein with tetratricopeptide repeats 1,Chr1: 232.152037,2.711,129.2,Chr1: 231.862988,3.204,Chr1,232.152037,Chr1,231.862988,232.152037,231.862988,0.2890490000000056,True,cis,False,False,False,cis,False,0.7017994858611825,0.5464852607709751,0.7368996613212551,Tier_1_HighConfidence,Liver,proximal,both,True,True,True,True,True,0.0,shared_cis_conserved,0.05771935688552687,0.7597664743050431,77.82158878750207
10998.0,UNCHAR_LOC102555965,LOC102555965,uncharacterized LOC102555965,Chr1: 184.499295,1.794,115.0,Chr1: 184.570953,-1.874,Chr1,184.499295,Chr1,184.570953,184.499295,184.570953,0.0716580000000135,True,cis,False,True,True,cis,False,0.6358768406961178,0.4986619090098126,0.5970885623970756,Tier_2_Validate,Adipose,promoter,10998.0,UNCHAR_LOC102555965,uncharacterized LOC102555965,Chr1: 184.499295,5.007,142.9,Chr1: 184.570953,-4.917,Chr1,184.499295,Chr1,184.570953,184.499295,184.570953,0.0716580000000135,True,cis,False,True,True,cis,False,0.7898457583547559,0.8701814058956916,0.7810095074876565,Tier_2_Validate,Liver,promoter,both,True,True,True,True,True,0.0,shared_cis_conserved,0.1324985237576576,0.6434000449791151,75.61038029950626
17771.0,UNCHAR_LOC120099939,LOC120099939,uncharacterized LOC120099939,Chr1: 182.637159,2.156,119.5,Chr1: 181.810195,2.05,Chr1,182.637159,Chr1,181.810195,182.637159,181.810195,0.8269640000000038,True,cis,False,True,True,cis,False,0.6659973226238286,0.550996134403806,0.6259477099596721,Tier_2_Validate,Adipose,proximal,17771.0,UNCHAR_LOC120099939,uncharacterized LOC120099939,Chr1: 182.637159,2.582,175.6,Chr1: 181.810195,4.164,Chr1,182.637159,Chr1,181.810195,182.637159,181.810195,0.8269640000000038,True,cis,False,True,True,cis,False,1.0,0.7278911564625851,0.8047619047619047,Tier_2_Validate,Liver,proximal,both,True,True,True,True,True,0.0,shared_cis_conserved,0.12411536160726545,0.6709615470642484,75.44047619047619
8253.0,ENSRNOG00000013973,Lcn2,lipocalin 2,Chr3: 15.684032,3.582,120.7,Chr3: 15.375341,-2.19,Chr3,15.684032,Chr3,15.375341,15.684032,15.375341,0.3086909999999996,True,cis,False,False,False,cis,False,0.6740294511378848,0.5926256318763009,0.7433292790549649,Tier_1_HighConfidence,Adipose,proximal,8253.0,ENSRNOG00000013973,lipocalin 2,Chr3: 15.684032,1.93,89.9,Chr3: 15.375341,-2.438,Chr3,15.684032,Chr3,15.375341,15.684032,15.375341,0.3086909999999996,True,cis,False,False,False,cis,False,0.4492287917737789,0.4017384731670447,0.5978385427292882,Tier_1_HighConfidence,Liver,proximal,both,True,True,True,True,True,0.0,shared_cis_conserved,0.1076777688011785,0.6344804212327103,73.6831711621986
8912.0,ENSRNOG00000042224_1,LOC100912642,cytochrome P450 2J3-like,Chr5: 110.930401,3.285,134.1,Chr5: 111.023453,-2.019,Chr5,110.930401,Chr5,111.023453,110.930401,111.023453,0.0930520000000001,True,cis,False,False,True,cis,False,0.7637215528781793,0.5417781742491823,0.7569249044945765,Tier_2_Validate,Adipose,promoter,8912.0,ENSRNOG00000042224_1,cytochrome P450 2J3-like,Chr5: 110.930401,1.632,59.2,Chr5: 111.023453,-1.17,Chr5,110.930401,Chr5,111.023453,110.930401,111.023453,0.0930520000000001,True,cis,False,False,True,cis,False,0.2519280205655527,0.1621315192743764,0.4449208389439751,Tier_2_Validate,Liver,promoter,both,True,True,True,True,True,0.0,shared_cis_conserved,0.25746186529096143,0.5235655099948529,71.12699617978306
21791.0,ENSRNOG00000021555,Mis18a,MIS18 kinetochore protein A,Chr11: 29.981057,3.948,123.8,Chr11: 29.858552,1.835,Chr11,29.981057,Chr11,29.858552,29.981057,29.858552,0.1225050000000003,True,cis,False,False,False,cis,False,0.6947791164658634,0.4870651204281891,0.7136454829129183,Tier_1_HighConfidence,Adipose,proximal,21791.0,ENSRNOG00000021555,MIS18 kinetochore protein A,Chr11: 29.981057,3.768,113.8,Chr11: 29.858552,2.362,Chr11,29.981057,Chr11,29.858552,29.981057,29.858552,0.1225050000000003,True,cis,False,False,False,cis,False,0.602827763496144,0.3873771730914588,0.6465717278056609,Tier_1_HighConfidence,Liver,proximal,both,True,True,True,True,True,0.0,shared_cis_conserved,0.04895118422288838,0.6634625445430323,70.72081931651672
