Index,Record,Symbol,Description,Location,Mean,Peak -logP,Peak Location,Effect Size,Gene_Chr,Gene_Pos_Str,Peak_Chr,Peak_Pos_Str,Gene_Pos,Peak_Pos,Distance_Mb,is_cis,cis_trans,is_pseudogene,is_uncharacterized,is_loc,trans_flag,flag_artifact,norm_logp,norm_es,biol_score,tier,tissue
5147,ENSRNOG00000012067,Fam111a,FAM111 trypsin like peptidase A,Chr1: 209.640864,9.201,167.2,Chr1: 209.858238,3.266,Chr1, 209.640864,Chr1, 209.858238,209.640864,209.858238,0.21737400000000662,True,cis,False,False,False,cis,False,0.9852744310575635,0.9125780553077609,0.9642483702278634,Tier_1_HighConfidence,Adipose
20908,ENSRNOG00000034139,Lyc2,lysozyme C type 2,Chr7: 52.887103,5.314,131.8,Chr7: 53.139710,3.241,Chr7, 52.887103,Chr7, 53.139710,52.887103,53.13971,0.2526069999999976,True,cis,False,False,False,cis,False,0.748326639892905,0.9051442164733868,0.878714799728202,Tier_1_HighConfidence,Adipose
30910,ENSRNOG00000016782,Tnfrsf8,TNF receptor superfamily member 8,Chr5: 157.168420,4.272,137.1,Chr5: 157.431322,2.776,Chr5, 157.168420,Chr5, 157.431322,157.16842,157.431322,0.26290199999999686,True,cis,False,False,False,cis,False,0.7838018741633199,0.766874814154029,0.842736840911072,Tier_1_HighConfidence,Adipose
7166,ENSRNOG00000019050,Ifit1,interferon-induced protein with tetratricopeptide repeats 1,Chr1: 232.152037,6.097,150.0,Chr1: 231.862988,2.342,Chr1, 232.152037,Chr1, 231.862988,232.152037,231.862988,0.28904900000000566,True,cis,False,False,False,cis,False,0.8701472556894243,0.6378233719892953,0.8277897196875518,Tier_1_HighConfidence,Adipose
27787,ENSRNOG00000029386,RT1-N2,"RT1 class Ib, locus N2",Chr20: 2.641156,4.809,118.2,Chr20: 2.687516,-2.911,Chr20, 2.641156,Chr20, 2.687516,2.641156,2.687516,0.04635999999999996,True,cis,False,False,False,cis,False,0.6572958500669344,0.8070175438596491,0.8125096878743041,Tier_1_HighConfidence,Adipose
1571,ENSRNOG00000032461,Bin2a,beta-galactosidase-like protein,Chr8: 25.287172,5.965,116.9,Chr8: 25.570084,-2.755,Chr8, 25.287172,Chr8, 25.570084,25.287172,25.570084,0.2829119999999996,True,cis,False,False,False,cis,False,0.6485943775100401,0.7606303895331549,0.7932286684651182,Tier_1_HighConfidence,Adipose
4233,ENSRNOG00000055934,Dmkn,dermokine,Chr1: 86.013236,3.163,123.7,Chr1: 86.021287,-2.535,Chr1, 86.013236,Chr1, 86.021287,86.013236,86.021287,0.008050999999994701,True,cis,False,False,False,cis,False,0.6941097724230254,0.6952126077906631,0.7862628330747908,Tier_1_HighConfidence,Adipose
27997,ENSRNOG00000013279,Scd3,stearoyl-coenzyme A desaturase 3,Chr1: 243.093056,4.407,83.4,Chr1: 243.327780,3.432,Chr1, 243.093056,Chr1, 243.327780,243.093056,243.32778,0.23472399999999993,True,cis,False,False,False,cis,False,0.4243641231593039,0.9619387451680047,0.785206003914558,Tier_1_HighConfidence,Adipose
26980,UNCHAR_RGD1563402,RGD1563402,Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1 like 1,Chr1: 204.760741,1.882,123.9,Chr1: 205.532359,2.19,Chr1, 204.760741,Chr1, 205.532359,204.760741,205.532359,0.7716180000000179,True,cis,False,False,False,cis,False,0.6954484605087015,0.5926256318763009,0.7508259323347507,Tier_1_HighConfidence,Adipose
6589,UNCHAR_H2ac18,H2ac18,histone cluster 2 H2A family member A2,Chr2: 183.808397,6.981,92.6,Chr2: 183.798575,-2.853,Chr2, 183.808397,Chr2, 183.798575,183.808397,183.798575,0.009822000000013986,True,cis,False,False,False,cis,False,0.48594377510040154,0.7897710377639013,0.7465001845025059,Tier_1_HighConfidence,Adipose
